Sentence,FK Reading Ease,FOG Scale,SMOG Index,ARI,CL Index,LW Formula,DC Score,Readability Consensus,Spache Formula
Hague's visit to Washington last month was described in one Tory-supporting newspaper as the most comprehensive US visit by a shadow foreign secretary since Labour came to power in 1997.,41.03,17.33,0.0,18.2,13.07,20.0,10.39,15.0,7.075666666666667
Halloween is generally speaking a children's holiday.,22.07,8.51,0.0,13.7,17.35,4.5,13.01,14.0,6.740285714285713
Halloween is the only time authentic sluts cover their parts up.,68.77,8.04,0.0,7.2,9.49,5.5,9.92,6.0,3.9536363636363636
"Halloween nostalgia seems to be the theme today, so with that in mind, here's a roundup of various retro Halloween cartoons, commercials, and educational films meant to scare you, school you, and make you smile.",52.87,18.57,0.0,19.9,11.33,21.5,10.34,15.0,7.248285714285714
Hamas' control over Gaza is another main stumbling block to peace efforts.,76.22,4.8,0.0,9.3,11.3,6.0,12.13,6.0,4.680999999999999
Hamas has long preached that Abbas' moderation doesn't pay and that only armed struggle will produce a Palestinian state.,60.65,11.81,0.0,13.6,13.23,11.5,11.23,12.0,5.781157894736841
"Hamas spokesman Sami Abu Zuhri said the U.S. could not effectively engage in peacemaking while ignoring Hamas, and said Clinton's visit was ""destined to fail.""",54.56,14.8,0.0,16.5,12.71,15.5,13.09,13.0,6.772
"Hanging on to whatever he knows and leaking info out in droplets could maybe, possibly, profoundly scare the shit out of Sarah Palin and her oft-projected 2012 run's potential.",50.5,18.5,0.0,17.1,11.91,19.5,13.79,14.0,7.3004137931034485
Happy Birthday!!!,35.61,0.8,0.0,17.3,7.1,0.0,0.1,0.0,1.121
Happy Camping.,35.61,0.8,0.0,10.2,4.2,0.0,11.63,0.0,5.420999999999999
Happy Halloween.,35.61,0.8,0.0,14.9,10.0,0.0,11.63,0.0,5.420999999999999
Happy New Year.,93.81,1.2,0.0,0.5,-2.38,0.5,0.15,1.0,1.262
Happy surfing!,35.61,0.8,0.0,10.2,4.2,0.0,11.63,0.0,5.420999999999999
Harry Reid and Nancy Pelosi put it back in with a nod and a wink as if to appease the far-left liberals who were making lots of noise.,68.44,12.63,0.0,10.6,4.77,15.0,8.97,11.0,6.015571428571429
has anyone else been told that they were a positive person and that they would be a good cast member in the program?,73.51,10.94,0.0,9.3,6.45,12.5,6.84,7.0,4.829826086956521
Has anyone else heard of or experienced a similar problem?,52.87,12.0,0.0,6.6,9.08,6.0,8.87,9.0,4.828999999999999
Hastings noted Chaudhry's disability from his military service as well as his service as a volunteer firefighter in Yakima and volunteer work with the Red Cross youth program.,43.06,16.91,0.0,17.5,13.23,19.0,10.1,14.0,7.244142857142856
Have a great time!,118.18,1.6,0.0,-1.9,-2.91,1.0,0.2,0.0,1.403
Have a great time.,118.18,1.6,0.0,-1.9,-2.91,1.0,0.2,0.0,1.403
"Have a great weekend, and make sure you drive carefully!",86.71,8.0,0.0,5.7,7.34,5.0,7.29,8.0,3.969
Have fun!,120.21,0.8,0.0,-1.7,-10.31,0.0,0.1,0.0,1.121
"Have had quotes for limo transfer for the four of us, all around $300.",99.57,5.6,0.0,4.7,4.52,6.0,8.84,5.0,3.427285714285714
Have not been to Shelter Island so don't know.,96.18,3.6,0.0,2.9,4.14,3.5,5.84,4.0,3.0635555555555554
Have we really lost confidence in our ability to govern ourselves through the ballot box?,56.25,11.33,0.0,9.6,10.72,10.5,7.54,11.0,4.6739999999999995
"Having invested considerable capital in seeking a solution for Palestinians and Israelis as part of a broader thrust to help stabilize the oil-rich Middle East, Obama faces an early setback in his presidency if the two sides refuse even to talk.",29.86,22.25,0.0,22.6,12.2,27.5,11.06,23.0,8.927317073170732
"Having wasted no time feuding with the girls and playing all the guys, Cavallari leaves us without a gal to root for.",74.53,10.62,0.0,10.1,7.49,12.0,10.47,11.0,5.504636363636363
"He added: ""One has to ask the question: who would wish to chair the council at this point, given the quite blatant political interference it has to deal with?""",67.42,14.36,0.0,14.4,8.31,16.5,7.8,8.0,6.114206896551723
He added that the states of the bodies made it hard to tell how long they had lain in the makeshift graves.,99.91,8.8,0.0,8.0,5.11,11.0,7.6,5.0,3.941
He adds that Google isn't particularly experienced at hardware design and that its influence on the T-Mobile G1's hardware design is more a negative than a positive.,35.61,18.21,0.0,16.3,12.02,18.5,11.41,12.0,6.875629629629628
"Heading the campaign against him is the high profile Mahant Gyandas, head of All India Akhada Parishad and the president of Ram Janmabhoomi Nyas, Nritya Gopal Das.",60.99,13.76,0.0,15.9,11.78,15.5,13.16,12.0,7.512666666666666
Head over here instead: Gives you fan-control with a GTK-Gui: http://www.gambitchess.org/mediawiki...ad_Fan_Control,9.55,11.67,0.0,29.1,28.98,6.5,18.54,29.0,5.5172727272727276
Head to the back of the Wal-Mart Supercenter in Raynham and you may be in for a surprise.,78.59,9.42,0.0,6.4,4.99,9.0,8.04,7.0,4.332555555555555
He alerted U.S. immigration authorities after learning otherwise years later.,10.56,12.0,0.0,15.6,18.94,7.0,16.76,0.0,6.5489999999999995
He also alleged that documents were withheld from the board of inquiry and the inquest to cover up the way in which airworthiness regulations were ignored.,45.09,15.02,0.0,15.1,11.78,16.0,9.78,16.0,7.151153846153846
"He also has a problem ""collecting people,"" as they say in politics - doing favors and developing the personal touch with big donors.",40.69,16.07,0.0,13.1,10.39,15.5,10.47,11.0,6.677363636363635
He also has been working on a variety of constituent issues that had accumulated since before Kennedy's death on Aug. 25.,58.62,12.21,0.0,11.7,9.81,12.5,10.69,10.0,5.847619047619046
"He also, in the ultimate expression of ""too little, too late"", said that he wished his party had endorsed Owens all along.",66.07,12.44,0.0,11.2,7.78,13.0,8.32,8.0,5.113727272727273
He also once owned two Chinese restaurants in the district.,78.25,4.0,0.0,7.1,9.66,4.0,10.45,4.0,4.828999999999999
He also played a significant role in developing the country's first artificial earth satellite.,31.89,14.17,0.0,13.2,15.25,9.0,12.23,12.0,5.884428571428572
"He also said Democrats will take the sidelining of Scozzafava as a positive trend for the long-term, believing that the Republican Party will conservatize itself to death demographically.",26.14,19.77,0.0,19.5,15.55,20.0,10.1,20.0,6.936999999999999
He also said Illinois must be aggressive in promoting its businesses and products in emerging markets such as Africa.,52.19,13.92,0.0,12.6,12.65,12.5,11.23,13.0,6.686421052631578
He also said the two sides released a joint declaration and signed a number of cooperation agreements.,54.22,11.51,0.0,10.9,11.42,10.5,10.98,11.0,5.259529411764705
"He also wanted to beat his time from last year's race, about 24 minutes.",91.11,5.6,0.0,5.4,5.33,6.0,8.84,6.0,4.041571428571428
He also was permitted to visit with Aung San Suu Kyi.,77.23,8.04,0.0,2.5,3.69,5.5,11.36,6.0,3.171818181818182
"He also writes of fears during the 2000 Sydney Olympics that Chinese athletes (no names here) would be disqualified for doping, and of a women's volleyball coach arranging for the Chinese team to lose a match in the 2002 world championships to avoid facing a tougher opponent.",40.69,23.06,0.0,25.1,11.39,28.5,12.01,11.0,9.295787234042553
"He amassed a collection that numbers more than 800 vehicles, from the overtly silly Batmobile to a Rolls-Royce Silver Shadow once owned by a maharaja.",46.1,16.4,0.0,14.8,11.55,16.5,11.82,12.0,6.427999999999999
He argues that authorities violated the U.S. Constitution and the rights of his mentally ill clients while searching for evidence that he broke an anti-rioting law on Twitter.,48.81,14.17,0.0,10.5,11.94,9.0,12.23,11.0,5.884428571428572
He arrived in the U.S. on a tourist visa in 1998 and planned a life in the U.S. military when he joined in March 2001.,88.4,11.6,0.0,8.8,3.66,13.5,10.56,0.0,4.707999999999999
Hear that?,120.21,0.8,0.0,0.8,-7.41,0.0,0.1,0.0,1.121
Hear the podcast,93.81,1.2,0.0,2.1,1.52,0.5,9.05,1.0,4.128666666666666
Heartwarming!,-47.99,40.4,0.0,40.3,24.2,0.5,19.48,20.0,9.58
He believes in spreading the gospel of his faith -- an evangelical tenet that rubbed some Christians in Rossville the wrong way.,75.54,10.3,0.0,13.1,11.43,12.0,9.94,12.0,5.438095238095238
"Hebert called police, lawyers and detectives, she recalled, and to this day is on a first-name basis with them.",77.57,9.71,0.0,11.1,9.57,10.5,9.57,10.0,4.875894736842104
Hebert had temporary custody of Bianca.,56.93,9.07,0.0,8.3,11.07,3.0,14.46,7.0,5.984999999999999
"Hebert posted hundreds of posters in stores, gasoline stations and offices.",68.77,4.4,0.0,11.9,14.77,4.5,14.23,15.0,5.5172727272727276
"Hebert said she hasn't lost hope of a reunion, but knows Bianca could have another life or been raised to hate her.",82.99,8.8,0.0,9.7,6.73,12.0,8.32,7.0,4.722818181818182
Hebert sometimes wakes up in the early morning hours and gets busy.,84.68,4.8,0.0,6.6,8.4,5.0,9.5,5.0,2.5309999999999997
"Hebert was getting her hair cut on Christmas Eve when she learned beautician Emma Moreno was from Mexico, as was Hebert's ex-husband, who was from Monterrey.",62.01,15.02,0.0,15.5,11.32,17.0,9.78,16.0,5.828076923076923
He bought and bought and never stopped.,106.67,2.8,0.0,4.3,6.56,2.5,0.35,0.0,1.8259999999999998
He called his biggest grab luck.,99.23,2.4,0.0,2.8,4.28,2.0,9.2,3.0,3.1183333333333327
"He called on the government to put ""more effort"" into finding out whether there is a link to terrorism.",69.11,9.71,0.0,9.1,7.78,11.5,9.57,10.0,4.875894736842104
"He characterized the process as ""stuck"" because of what he said was Netanyahu's lack of desire to restart negotiations.",60.65,11.81,0.0,13.1,12.36,11.5,9.57,12.0,4.875894736842104
"He continued in that role under the Karzai government that was formed after the fall of the Taliban, leaving the government in 2006.",65.05,10.94,0.0,12.6,10.28,14.5,8.9,10.0,4.829826086956521
"He could, theoretically, be doing much, much worse.",46.44,8.2,0.0,8.5,9.35,4.0,7.98,9.0,4.116999999999999
He currently is in his second term.,81.29,8.51,0.0,1.6,3.26,3.5,6.24,4.0,3.0545714285714283
"He decided to run the five kilometers for five fellow Marines whose lives either had intersected with his, or whose sacrifice he learned about later.",54.56,16.4,0.0,14.6,11.55,16.5,8.67,12.0,6.084
"He declined to say whether the recession is over, saying economists will figure that out years from now.",70.13,11.64,0.0,10.3,9.8,11.0,9.79,10.0,5.28811111111111
He did not know the status of the airspace at the time.,101.6,4.8,0.0,1.9,2.6,5.0,6.86,5.0,3.247666666666666
He did not know the status of the airspace at the time of the crash.,98.55,6.0,0.0,3.0,2.6,6.5,6.49,3.0,3.527333333333333
"He didn't even bother getting out of bed, he just reared up and whammo!",82.65,5.6,0.0,5.1,4.92,6.0,6.59,6.0,3.427285714285714
"""He didn't pay what we thought the market value was worth on a particular car. If he wanted it, he bought it.""",85.69,6.22,0.0,3.1,3.4,5.0,5.62,4.0,3.171818181818182
"He does not regard building in occupied East Jerusalem, annexed in defiance of international complaint, as settlement.",37.3,13.86,0.0,15.3,16.18,12.5,10.98,13.0,6.271294117647059
He doesn't say.,93.81,1.2,0.0,0.5,-4.29,0.5,0.15,1.0,1.262
"He doesn't want to have to be either ""the jock"" or ""the geek""; he wants enough freedom from dated cultural definitions to be both, and more.",70.47,13.48,0.0,12.4,6.91,15.0,8.57,7.0,5.497307692307691
"He earlier went on a 16-yard touchdown run that began with him running smack into two linebackers before spinning around, leaving the would-be tacklers colliding and grasping for air as Tate dashed to the end zone.",51.86,16.62,0.0,20.0,11.5,20.0,10.25,20.0,7.587222222222222
"Heeding those words, the 36-year-old Pakistani immigrant living in Yakima joined the Army National Guard and was sent to active duty at Fort Lewis and Fort Irwin in Southern California.",49.49,16.0,0.0,18.1,12.72,18.0,11.44,18.0,7.362333333333334
"He even developed teaching machines so students could learn bit by bit, uncovering answers for an immediate ""reward.""",44.75,13.87,0.0,13.8,13.34,12.0,10.67,14.0,6.721444444444444
He first began to wield influence over the Tories between 1998 and 2001 when he donated several million pounds to the party.,57.61,12.44,0.0,11.6,9.63,14.0,9.75,10.0,5.113727272727273
He found him again midway through the quarter for a 26-footer that made it 72-42.,81.63,6.0,0.0,7.1,6.89,7.5,9.64,6.0,4.100666666666667
"He found Pierce, who hit a 25-footer that made it 53-35 early in the third.",90.09,6.0,0.0,5.2,4.17,7.5,9.64,5.0,3.527333333333333
"He gave his first floor speech last week, outlining his support for a government-run plan to compete with private insurance companies under the health care overhaul.",53.55,15.02,0.0,16.9,13.58,17.0,9.18,17.0,6.820384615384615
"""He got into a groove, he operated well,"" Baldwin said of Nichols.",76.22,8.13,0.0,6.1,6.02,6.0,9.5,6.0,3.964333333333333
"He got under Joy Behar's skin when he took some shots at CNN's rating, noting ""they don't have any pizazz.""",85.02,8.0,0.0,9.3,6.21,9.0,9.37,9.0,4.949
He had already hired people to compile archival research on cars and to take oral histories from important automotive figures.,51.18,12.0,0.0,13.8,13.46,13.0,11.73,12.0,5.808999999999999
"He had been quiet in the first half, taking just five shots and missing four, but for the second straight game, he came up huge after the break.",76.9,11.2,0.0,12.3,6.45,14.0,6.15,7.0,5.094142857142856
He had been working for the Comprehensive Nuclear-Test-Ban Treaty Organisation (CTBTO) at the UN building.,30.87,14.0,0.0,14.9,15.77,10.5,12.8,13.0,5.247333333333334
He had even scouted potential sites.,73.85,9.07,0.0,5.9,8.17,3.0,11.83,5.0,4.551666666666666
He had even spent time online researching their positions.,62.34,12.49,0.0,9.3,12.5,5.5,9.35,9.0,4.974666666666666
"He had hoped the revival would be a ""victory lap"" for the 82-year-old Mr. Simon, whose last major hit on Broadway was ""Lost in Yonkers"" in the early 1990s.",90.6,5.8,0.0,6.4,5.73,6.75,8.71,6.0,3.773155172413793
He had met the families of two of the Marines while serving in an official family-support role for Echo Company 4th Reconnaissance Battalion in Joliet.,46.1,16.4,0.0,15.0,12.02,18.5,11.82,13.0,6.772
"He hadn't released a new hit record in more than a decade, he'd lost his Neverland Ranch, and according to reports, he'd had his heart set on buying a Las Vegas estate that he couldn't afford.",60.32,16.62,0.0,17.1,7.32,20.0,9.81,17.0,7.826111111111111
He has authored 80 books mainly commentaries on religious texts - eighth among the lot on Upnishads.,63.7,11.4,0.0,11.3,12.18,10.5,12.33,12.0,5.782500000000001
He has contracts with several banking institutions to provide advice and peddles his experience to foreign governments through Tony Blair Associates.,24.78,16.02,0.0,18.0,18.1,15.5,13.7,18.0,7.895238095238094
"He has led peasants and squatters in claims for vast chunks of countryside, disputes that have on occasion turned violent.",59.64,14.0,0.0,12.8,12.01,13.0,12.52,13.0,6.238999999999999
"He has merely edited, not altered 'Ramcharitmanas' published by Geata Press, Gorakhpur, on the basis of much older editions printed by Venkatesh Press in 1900 or Khemraj Prakashan 1800, Manas Piyush Siddhant Tilak to name a few among the assorted 50 different editions he had consulted.",33.25,21.01,0.0,26.3,13.13,27.0,14.16,27.0,10.316304347826087
"He has the support of neighbors, military veterans, his church, members of Congress and even a former immigration adjudicator, totaling 28 letters requesting immigration authorities to allow him to stay in the country.",12.6,21.68,0.0,21.6,15.1,24.5,11.97,22.0,8.879878787878788
He has yet to announce whether will decide to run for a sixth term in the next presidential election in 2011.,75.54,10.3,0.0,9.0,7.02,11.5,8.44,8.0,5.0285714285714285
"He is a board member of the Independence Heights Redevelopment Council and a founding member of Change Corps, a service organization.",33.24,14.11,0.0,14.4,13.4,13.5,9.94,14.0,5.847619047619046
He is chairman of the Sharpstown Tax Increment Reinvestment Zone and Redevelopment Authority.,24.44,17.51,0.0,14.4,17.5,10.5,12.78,13.0,6.641230769230768
"He is declining campaign donations and focusing on a simple platform of lower taxes, smaller government and no red-light cameras.",34.26,14.0,0.0,14.5,13.75,14.0,10.94,14.0,7.099
He is expected to sign this month.,89.75,8.51,0.0,0.9,2.44,3.5,6.24,3.0,3.0545714285714283
"""He is the first prime minister... that has ever in the history of the Misuse of Drugs Act gone against the advice of its scientific panel,"" he said.",59.98,14.06,0.0,13.1,6.85,17.0,8.97,12.0,6.3227142857142855
"He just faithfully serves as a mindless stenographer for hidden people whose credibility you're told to accept even as they do nothing but spout manipulative, vapid idiocies about Churchillian Resolve designed to promote endless war.",27.49,19.71,0.0,22.9,15.79,22.5,11.69,23.0,8.476857142857142
"""He just kept finding me,"" Pierce said.",106.67,2.8,0.0,4.3,4.07,2.5,8.5,3.0,3.0545714285714283
He knows that has its place.,116.15,2.4,0.0,-0.5,0.45,2.0,6.57,0.0,1.6849999999999998
Hellò.,36.62,0.4,0.0,7.3,-16.41,-0.5,19.48,0.0,9.58
Hello.,36.62,0.4,0.0,7.3,-16.41,-0.5,0.05,0.0,0.98
"Hello All,  I am wondering if someone else has run into this problem.",66.74,8.28,0.0,5.4,5.9,6.5,6.71,7.0,3.995076923076923
hello all:  I have the same exact drive.,80.28,3.2,0.0,1.4,2.1,3.0,0.4,3.0,1.9669999999999999
"Hello all,  I would like to first say that I've been lurking on these forums for a long time and wish to say that the community here is very friendly and most helpful.",63.36,14.41,0.0,14.2,6.34,17.5,6.71,7.0,6.273818181818182
"Hello, Echofon.",35.61,0.8,0.0,12.5,4.2,0.0,11.63,0.0,5.420999999999999
Hello Ed.,77.91,0.8,0.0,-1.7,-10.31,0.0,11.63,0.0,1.121
"Hello fellow Ottawan,    As a regular to LP, First question, what part of the city do you live in?",60.65,9.71,0.0,7.1,4.99,10.5,7.07,10.0,4.423263157894736
"Hello, I am dual-booting XP and Feisty, and have a partition for Feisty (ext2) a partition for XP (ntfs) and a common work partition for both Os's(ntfs).",52.53,12.28,0.0,14.2,7.96,17.5,10.24,13.0,6.2385925925925925
"Hello, I am looking for some help re travel insurance for someone who is on regular and ongoing medication to control high blood pressure.",47.12,16.27,0.0,13.1,10.33,16.0,10.75,11.0,7.089666666666666
Hello I am new to UBUNTU too I love it but I have a similar problem,80.62,8.9,0.0,1.9,1.27,8.0,7.39,6.0,4.7075
"Hello, Is it possible in Ubuntu to set a default program for a file extension, indepentdently of its content?",43.73,11.81,0.0,10.6,9.57,12.5,9.57,12.0,6.23378947368421
"Hello,  I've been having an intermittent problem using wireless networks on my 12"" ibook.",48.81,8.46,0.0,10.8,11.53,7.0,12.23,11.0,5.884428571428572
"Hello,    My wife and are are heading to Saratoga Springs to catch a concert in a couple of weeks, wondering if there's any hotels with walking distance of SPAC...want to have a few and not drive; also if anyone knows about bringing cocktails to the concert, I'm been given mixed advice; perhaps they have an outdoor bar at the concert...",27.5,24.67,0.0,30.2,9.01,31.0,11.35,25.0,11.019
"Hello,    You might want to consider staying at a bed and breakfast or guest house as they offer larger rooms as oppose to small hotel rooms for a cheaper price.",57.95,13.33,0.0,13.8,7.85,16.0,8.28,13.0,6.502333333333333
He loved the food there and said it really made him think of home.,99.57,5.6,0.0,3.4,3.65,7.0,5.46,3.0,2.8129999999999997
"He loved to do that for shock effect, he had men in there and he had women in there, hangers-on trying to get a job or something, he had a big plate of food, eating with his fingers like a Roman emperor.",54.23,17.75,0.0,17.8,5.13,23.0,8.73,18.0,8.194333333333333
Help.,121.22,0.4,0.0,2.6,-22.21,-0.5,0.05,0.0,0.98
HELP,121.22,0.4,0.0,-2.2,-22.21,-0.5,0.05,0.0,0.98
Help Doug Hoffman for Congress now.,90.77,2.4,0.0,5.1,7.18,2.0,11.83,2.0,4.551666666666666
Helped me too.,119.19,1.2,0.0,-1.2,-4.29,0.5,9.05,1.0,1.262
help please!,120.21,0.8,0.0,5.5,-1.61,0.0,0.1,0.0,1.121
"Help us, Olympia Snowe, you're our only hope!",105.66,3.2,0.0,4.9,5.0,3.0,7.98,5.0,1.9669999999999999
"""He made more impact in six years than anybody had ever made in such a short time in the collector car business. And possibly more impact than anyone who collected over 20 years.""",71.65,10.24,0.0,7.8,7.54,8.75,7.33,8.0,4.207924242424243
"He made sneak assaults against transports, cruisers, destroyers, airplanes, landing parties - anything to frustrate the pace of the overwhelming Japanese invasion.",33.24,16.02,0.0,20.9,20.3,15.0,13.7,14.0,8.304761904761905
"He mentioned Typhoon Morakot, which lashed Taiwan with 80 inches of rainfall in August, and Typhoon Ketsana, which in September brought some of the worst rains ever recorded to Manila in the Philippines.",54.9,13.2,0.0,19.5,12.66,17.5,11.02,14.0,7.576848484848485
"He named names as well: ""There's two commentators on Fox that really don't like Barack Obama, Glenn Beck and Sean Hannity, but the rest of us, Greta, Shepard Smith, Bret Baier, myself, we're willing to give the guy the benefit of the doubt.""",53.21,19.99,0.0,21.9,8.55,25.5,12.01,17.0,8.102
Hence I need a visa.,117.16,2.0,0.0,-4.0,-4.33,1.5,10.2,2.0,1.544
He never arrived.,59.97,1.2,0.0,3.6,1.52,0.5,0.15,1.0,1.262
"He never returned, and neither did their daughter.",71.82,3.2,0.0,7.9,10.11,3.0,6.01,3.0,3.042
"He noted, however, that he's seeing encouraging signs.",37.98,8.2,0.0,10.3,11.56,5.0,9.95,10.0,4.116999999999999
He now has 18 touchdowns on the season to just two interceptions.,76.22,8.13,0.0,5.8,7.47,6.0,8.18,6.0,3.964333333333333
"He paid about $1,450 in fines and restitution and says Australian police promised that the convictions wouldn't go on his record.",75.54,12.21,0.0,13.5,11.72,12.5,10.69,12.0,5.0285714285714285
"He picked up that big plate of food and threw it at me, and I just ran out the door!",101.94,8.0,0.0,3.9,0.99,9.0,1.78,4.0,3.659
He planned to build a museum to display them that he claimed would be the greatest in the world.,86.03,9.71,0.0,7.4,6.21,10.5,8.73,6.0,4.875894736842104
"He predicted the museum would be completed by 2010, and he acknowledged he was far from finished buying more cars.",59.64,16.0,0.0,10.9,9.69,14.0,10.94,10.0,6.238999999999999
He prefers large plates and casual dress code.,88.74,8.2,0.0,5.6,7.9,4.0,11.93,6.0,3.042
He rarely leaves his home.,117.16,2.0,0.0,1.8,2.64,1.5,10.2,2.0,1.544
"(Her best and most frequent advice: ""Load up on crackers and junk food. Crackers for when you're sea sick and junk food for when you get the munchies at night and the mess deck is closed."")",95.51,7.2,0.0,7.7,5.97,8.0,6.72,8.0,4.093666666666666
Her comments appeared to represent a significant departure in tone from her previous statements demanding a total Israeli settlement freeze without exception.,15.31,19.71,0.0,18.9,18.56,18.0,12.62,19.0,8.241
"Her cousin is Cody Ray Smith of San Pablo, who at 15 is the youngest of the four defendants charged in the gang rape so far.",87.39,11.94,0.0,9.5,4.65,14.0,10.39,10.0,4.83576923076923
"Here, about 50 flat-screen televisions hang from the wall, a 60 percent increase in recent months.",80.62,8.9,0.0,11.0,11.08,8.0,11.34,11.0,5.244999999999999
Here a crew of reservists with the Navy cleaned and re-cleaned the same section spotless hallway on a brand new ship to pass the time.,79.94,10.0,0.0,11.8,8.07,12.5,9.93,10.0,5.74
here are is content of my script.,106.67,2.8,0.0,0.3,1.57,2.5,8.5,0.0,3.0545714285714283
Here are the ground rules for SPAC:  http://www.spac.org/groundrules.cfm,71.82,3.2,0.0,20.3,20.95,4.0,17.85,21.0,1.9669999999999999
Here are the top and bottom ten with the percentage of those polled who believe their wallets would be returned:,76.56,10.0,0.0,10.5,9.4,11.0,7.79,8.0,4.949
Here are three reasons why we think investment in this sector has been slow so far.,80.62,8.9,0.0,6.6,6.73,8.0,7.39,7.0,4.7075
He recalled that Giannopoulos was handpicked to take courses on military tactics that he passed on to his men.,69.11,11.81,0.0,10.9,10.5,11.5,10.4,11.0,6.23378947368421
"He received a standing ovation at his first caucus luncheon, has renewed old friendships among Republicans, and drawn support from senior Democrats, including Senators Dick Durbin of Illinois and Christopher Dodd of Connecticut, during his first floor speech last week.",39.34,20.0,0.0,25.7,15.97,24.0,13.52,18.0,9.703999999999999
He refused to comment further.,66.4,2.0,0.0,5.6,7.28,1.5,10.2,2.0,4.984
"""Here in Newport maybe you wouldn't think it was much of a party. But it was a swell night, with a big moon hanging over Manila Bay - peaceful - and best of all, all the girls had broken out with their civilian dresses. That doesn't sound like much, but one look at them after seeing nothing but uniforms for months was like a trip back home. Make-up too - they looked so goddamned nice you could eat them with a spoon. . . .""",76.76,7.92,3.1,8.8,6.5,10.625,6.62,7.0,4.385775316455696
"Here in the state of Chattisgarh, Maoists dominate thousands of square miles of territory and have pushed into neighboring states of Orissa, Bihar, Jharkhand and Maharashtra, part of a so-called Red Corridor stretching across central and eastern India.",32.91,21.52,0.0,24.2,15.21,25.0,12.59,25.0,9.139105263157894
Here is a list of some other private camp sites around Saratoga:,84.68,4.8,0.0,5.4,6.95,5.0,8.18,5.0,3.964333333333333
Here is a map link of manhattan.,89.75,8.51,0.0,-0.6,0.76,3.5,8.5,9.0,3.0545714285714283
Here is an info page that might help you plan your trip.,101.6,4.8,0.0,2.2,3.12,5.0,5.55,5.0,3.247666666666666
Here is the good one :,100.24,2.0,0.0,-3.0,-3.17,2.0,0.25,2.0,1.544
Here is the link for central park.,106.67,2.8,0.0,0.9,2.44,2.5,8.5,3.0,3.0545714285714283
here is the output:,92.8,1.6,0.0,-0.7,-1.46,1.0,7.78,1.0,3.553
Here is the tail-end of the pppd call tmobile.,96.18,3.6,0.0,2.9,4.14,3.5,7.59,4.0,4.01911111111111
"here is the ( temporary )script to UNMOUNT and SPINDOWN the ahrddrive without being root ( require pmount , zenity and sdparm , sudo aptitude install pmount zenity sdparm )",20.72,14.8,0.0,18.0,14.8,19.0,12.46,15.0,7.8039999999999985
here is the website for Fish Creek www.fishcreekpond.com,80.28,3.2,0.0,11.4,14.46,4.0,11.93,4.0,3.042
"He relished being a part of the armed services he had admired for so long, and heading back home to make a movie would take him away from it all, perhaps forever.",64.38,14.05,0.0,13.8,6.51,17.0,8.18,14.0,6.694749999999999
"Here on the vast Kampar peninsula, a land carpeted with dense forests and veined by unpredictable rivers, many isolated communities without their own schools or road access must send children such as Fandi and Alfan out onto the busy river highway.",38.32,21.28,0.0,22.9,12.61,25.5,11.83,12.0,8.717560975609755
Here's a list of finance figures who showed up.,96.18,3.6,0.0,3.5,4.78,3.5,9.35,4.0,4.01911111111111
Here's a post for a relatively slow Friday afternoon: two ads for Bing that vaguely tie in with Halloween.,69.11,9.71,0.0,9.9,8.65,11.5,8.73,9.0,4.875894736842104
"Here's how I do it:  > Open mime.types: sudo gedit /etc/mime.types > Search for file extension: <ctrl+f> ""file type"" > Copy Mimetype > Create a backup of defaults.list: sudo cp /usr/share/applications/defaults.list /usr/share/applications/defaults.list.backup > Open defaults.list: sudo gedit /usr/share/applications/defaults.list > Search for Mimetype: <ctrl+f> <ctrl+v> (mimetype should still be on your clipboard) > List available applications: ls /usr/share/applications/*.desktop > Change default application or Mimetype in the form [mime-type]=[new-app].desktop > Save mime.types > Restart nautilus: killall nautilus",-45.27,27.85,0.0,50.7,26.24,47.5,13.66,36.0,11.988615384615384
Here's how it works:,118.18,1.6,0.0,0.6,-1.46,1.0,7.78,1.0,1.403
Here's my output:,93.81,1.2,0.0,3.6,-0.46,0.5,9.05,1.0,4.128666666666666
Here's our rundown of the week's tech and business news.,95.17,4.0,0.0,5.7,6.76,4.0,8.87,4.0,3.1089999999999995
Here's some of what I've done:  Followed walkthrough here:,87.72,3.6,0.0,8.7,9.94,3.5,7.59,4.0,4.01911111111111
here's the final version of the script (it assumes you have at least symlinked wdpassport to /dev/wdpassport via udev):,60.65,9.71,0.0,13.1,11.72,11.5,12.06,12.0,5.781157894736841
Here's the full interview:,75.88,11.6,0.0,7.7,7.25,2.0,7.78,8.0,3.553
Here's the output from my attempt to burn an .iso cd:,94.15,4.4,0.0,2.5,2.65,4.5,9.92,3.0,3.9536363636363636
Here's what Sly had to say:,116.15,2.4,0.0,-1.2,-1.53,2.0,0.3,-1.0,1.6849999999999998
Here's what voters thought they knew:,99.23,2.4,0.0,6.7,8.17,2.0,6.57,7.0,3.1183333333333327
He returned this year with greater purpose.,89.75,2.8,0.0,7.0,9.87,2.5,10.75,3.0,4.283142857142856
He returned to the mainland after the new China was founded.,68.77,4.4,0.0,5.5,7.35,4.5,8.49,6.0,4.7354545454545445
"""Her face was purple and blue and she wasn't moving when they finished and ran,"" said Eraclio Lopez, 23, who lives nearby and ran over when the police cars rolled up.",65.39,13.69,0.0,14.7,7.44,16.5,8.23,8.0,5.764838709677418
