Sentence,ADF Score,FK Grade Level,Reading Time,WF Score
"Five New England states land $226M for smart meters: At least 832,000 smart meters will be installed across New England as a part of smart grid projects receiving funding from the U.S. Department of Energy's Smart Grid Investment Grant funding.",11.627906976744185,8.7,3.01,6.273299999999999
Five super stacks make up the rocket's upper stage that is integrated with the four-segment solid rocket booster first stage.,13.636363636363635,9.9,1.56,6.393
"Flanking it were bushes shaped like corkscrews, flowers and straw baskets, which he said took him four or five months to create using wire frames to form the shapes.",3.4482758620689653,9.9,2.01,6.526999999999999
"Flights at Manila's international airport were canceled and about 8,000 ferry passengers were stranded as the coast guard grounded all vessels.",4.3478260869565215,11.5,1.81,5.846299999999999
Fn-F5 turns on the Bluetooth but not wifi.,0.0,2.9,0.51,5.8999999999999995
Followed your instructions and BAM...gott'er done!,0.0,8.0,0.66,5.9268
"Following decisions to reject its advice on cannabis and ecstasy, there have been questions about its purpose.",0.0,9.9,1.38,5.7133
"Following in the spirit of the ""tea party"" protests in April and the Glenn Beck-inspired 9/12 rally, Bachmann announced, ""We're going to have a 'house call' and a big party out on the National Mall [next week], and we're going to tell Congress what they can do with their health care bill.""",3.571428571428571,20.0,3.51,7.1912
"Foot stomping, personal and often - ironically enough - sexualized attacks, and more whining.",33.33333333333333,15.1,1.18,5.532
"For 3 weeks we are searching the way for making it works, and reformated the disk 4 times...",0.0,6.8,1.1,5.4337
"For 57600 only, I don't think it is worth the money and trouble.",7.142857142857142,3.6,0.76,5.7141
For a great example of how change is happening see what Britney did today at @BritneySpears.,6.25,7.2,1.13,5.0478
"For all of this, Bulkeley was promoted to Lieutenant Commander and received the Medal of Honor.",0.0,8.4,1.18,5.3938
"For all the criticism Apple draws on the walled garden nature of its business, it has even come around to stripping DRM and allowing users to download mp3 files.",0.0,11.1,1.95,6.454400000000001
"For all the sensitivity training going on, this is still a rough city - and there is rough justice.",11.11111111111111,8.0,1.19,5.958600000000001
"""For a lot of people in politics, if they aren't in public office they don't think they're anything,"" Burton said.",8.695652173913043,8.7,1.4,6.5865
"For an excellent guide on installing dapper, read the guide in my signature called ""downloading and installing ubuntu""",5.555555555555555,10.3,1.48,5.740800000000001
"For an internal card, if your machine uses mini-PCI, get an Intel IPW2200.",7.142857142857142,7.2,0.91,5.0947
"Ford also says it will manufacture a new vehicle at Oakville, which currently builds the Edge, Flex, MKX, and MKT crossovers, but that will likely come after the current labor agreement expires.",6.25,13.4,2.39,6.8389999999999995
"Ford fell 30 cents, or 4.1 percent, to $7 on Oct. 30 in New York Stock Exchange composite trading.",5.0,7.2,1.18,5.783600000000001
"Ford has said it needs the concessions to ensure that it doesn't have a labor-cost disadvantage against GM and Chrysler, which unloaded debt, closed plants and eliminated dealership contracts in their court restructurings.",2.857142857142857,16.2,2.79,7.4025
"Ford may punish the UAW by making promised products in Canada or Mexico instead of the U.S., said David Cole, chairman of the Center for Automotive Research in Ann Arbor, Michigan.",3.125,14.2,2.2,6.042500000000002
"Ford Motor Co. hourly employees have rejected contract concessions the automaker said it needed to remain competitive with its U.S. rivals, said two people familiar with the outcome of the voting.",6.25,16.6,2.44,6.921100000000001
Ford Motor Company and the leadership of the Canadian Auto Workers union have reached a tentative agreement after a marathon four-day wrap-up to negotiations.,11.538461538461538,15.0,1.98,5.8587
"Ford's given its word that the company will build as many vehicles in Canada as it sells there, and the union deemed the pledge good enough to grant GM- and Chrysler-style concessions to Ford.",5.555555555555555,13.0,2.34,7.451599999999999
"Ford, the only major U.S. automaker to avoid bankruptcy this year, sought concessions similar to those secured by General Motors Co. and Chrysler Group LLC.",11.538461538461538,13.0,1.94,6.894400000000001
"Foreign Office head of news Carl Newns also rejected it, telling Mr Brown he wanted to stay with current boss David Miliband.",4.545454545454546,8.3,1.53,6.0364
For e-mail pick /usr/bin/mozilla-thunderbird,25.0,13.1,0.6,5.409500000000001
"Forest children, they say, must grow up fast.",12.5,2.9,0.56,5.632200000000001
For example 5V from USB ports.,0.0,2.1,0.37,5.195600000000001
"For example, a Massachusetts family of three earning $45,775 a year can purchase subsidized insurance through the Commonwealth Care program for $154 a month.",4.0,13.8,1.97,5.8744000000000005
"For example, he recently floated the idea of a tax on sugary drinks, but hasn't submitted legislation - though he's likely to now.",12.5,11.9,1.59,6.4742
"For example, he said tax justice groups criticize the state for not obtaining companies' beneficial ownership information when they incorporate in the state.",4.3478260869565215,15.8,1.98,5.752000000000001
"For example, he wonders whether the officials who submitted the winning bid to host the 2008 Games had been sincere in their representations during the bidding process that China would improve its human rights situation.",2.857142857142857,16.9,2.73,7.403600000000001
"for example i have in first track: MODE1/2048, but it expects other block sizes, e.g. MODE1/2352.",10.526315789473683,7.2,1.2,5.7958
"For example, Senator Lamar Alexander, R-Tenn., a long-time nuclear supporter, decried ""energy sprawl"" in a Wall Street Journal editorial last month.",13.043478260869565,15.0,1.88,5.7925
"For example, when the xserver starts up the ati module ""ati"", and the ati driver detects a radeon graphics card in the system, it will automatically start the ""radeon"" driver module for that card.",0.0,14.2,2.39,5.7201
"For extraordinary heroism, distinguished service, and conspicuous gallantry above and beyond the call of duty as commander of Motor Torpedo Boat Squadron 3, in Philippine waters during the period 7 December 1941 to 10 April 1942.",8.333333333333332,18.5,2.85,6.4674
"For Falah Mohammed, standing beneath a massive topiary arch by his driveway, the improved security in Baghdad has brought its own problem: he cannot find a gardener with enough time to take care of his trees.",13.88888888888889,15.0,2.54,6.020099999999999
"For India, the widening Maoist insurgency is a moment of reckoning for the country's democracy and has ignited a sharp debate about where it has failed.",3.7037037037037033,12.3,1.87,5.809400000000001
"""For instance. Any tank-town garage which overhauls a flivver back in the States always replaces the gaskets with new ones. Only we didn't have any. Or any sealing compound. So those old gaskets had to be carefully removed, handled as gently as though they were precious lace, and laid back in place when the motors were reassembled.""",6.779661016949152,6.5,4.08,8.0063
For it I am looking for a good diary program to replace my old diary software..,25.0,7.2,0.94,5.3604
"For its part, the Coast Guard and coordinating agencies said they responded with ""surgical"" precision, limiting the oil impact to about 6 miles of shoreline.",4.0,13.0,1.95,5.7477
"For many of us that have been in this game for a while, the word ""convergence"" harbors some shameful vibes.",10.0,6.4,1.29,6.183400000000001
"For Mazen Hammad, who works for the Ministry of Health, his garden was a refuge from the violence.",0.0,6.8,1.19,5.8134999999999994
for me it bug takes place on 4th computers!!!,0.0,2.1,0.54,5.4184
Former leading East German dissident Baerbel Bohley said Germany cannot afford to halt the project.,13.333333333333334,10.3,1.25,5.7555000000000005
"For millenniums, Yemen preserved traditions of careful water use.",11.11111111111111,10.3,0.84,5.431100000000001
"For more of The Daily Beast, become a fan on Facebook and follow us on Twitter.",6.25,6.0,0.94,6.006
"For Petty Officer Rivera, the experience has got her thinking about signing back up for active duty, but she wasn't sure.",9.090909090909092,10.3,1.48,6.364600000000001
"For similar offers on the remainder of Apple's Mac product line, please see our full-fledged Mac Price Guide.",10.0,8.0,1.35,6.286300000000001
For some reason restart[ing] the connection didn't work.,0.0,6.4,0.72,5.3885000000000005
for some reason that was never a problem when executing the script from the shell.,0.0,6.8,1.0,5.944299999999999
"""For that reason transparency is very essential. That is lacking in all these authoritarian governments. Particularly in the People's Republic of China.""",8.695652173913043,10.9,1.94,6.5108
"For the 60 reservists, who will return home after the 10-day port visit to New York, it's a chance to finally use the training they've learned in weekend sessions, to gingerly test the waters, as one might say, of ship life in the Navy.",2.127659574468085,16.9,2.84,7.517199999999999
"For the first time in almost two months, the Fighting Irish could relax in the fourth quarter.",11.76470588235294,5.2,1.15,6.1014
"For the first time, the bank will announce its latest decision on rates on Melbourne Cup day at 2.30pm - half an hour before the race on which Australians bet more than $100 million each year, The Sunday Telegraph reports.",10.0,15.0,2.69,6.786500000000001
"For the guy who was wondering about scripts, open Nautilus and click File > Scripts > Open Scripts Folder...",5.88235294117647,7.6,1.32,6.134499999999999
"For the life of me, I can't remember now how I figured out that it was at S0, but I did",0.0,5.6,0.98,5.2402999999999995
"For them, the Kampar River is their local street corner, a place where they play and test themselves, becoming excellent swimmers.",9.523809523809524,10.3,1.62,6.6695
"For the North Atlantic basin this season, the ACE Index is 45 percent of its normal level, the weakest season since 1997.",9.090909090909092,9.5,1.47,5.7473
"""For the past few days I have tried to do what journalists are supposed to do.""",12.5,4.8,0.94,5.721300000000001
"For the ship's crew, the voyage and commissioning of the U.S.S. New York is the culmination of many months of work, the point of transformation into an operational warship.",6.25,7.8,2.12,6.272
"For the smallest boys who must negotiate the river each day, the snake was like a monster from the deep.",10.0,7.6,1.25,5.9478
"For the version Ubuntu uses, it should be something like:  btlaunchmanycurses <directory> --tracker_proxy 127.0.0.1:8118",11.11111111111111,13.5,1.56,6.577200000000001
"For the viewer, Conrad is the identifiable core, a filter through which to experience all the chaos that goes on around her.",4.545454545454546,9.5,1.51,6.1822
"For those chomping at the bit, here's a brief sneak preview including Limbaugh claiming that if ObamaCare passes, ""It's gonna be the biggest snatch of freedom and liberty that has yet occurred in this country"" (video embedded below the fold with transcript, h/t Breitbart TV):",8.333333333333332,18.5,3.41,7.4704999999999995
"Fortunately, I have just booted my system successfully again after flipping the wireless card switch on the chassis to the 'on' position.",0.0,11.9,1.7,6.346899999999999
"For watchdogs of the bay's ecosystem and wildlife, the incident brought back memories of the disastrous 2007 Cosco Busan incident, which dumped nearly 60,000 gallons of bunker fuel, killing thousands of birds and fouling sensitive shorelines.",5.263157894736842,16.2,3.04,7.692400000000001
"For what I know, most of them use the same name.",18.181818181818183,0.5,0.56,5.2776000000000005
"For what it's worth, I agree with Prof David Nutt, the adviser sacked after criticising the Government's decision to categorise cannabis as a Class B Drug.",3.571428571428571,12.3,1.91,5.707800000000001
"For Whoopi Goldberg, it came when Barbara Walters was describing the nearly year-long streak of O'Reilly's book sitting on the New York Times Bestseller List.",3.571428571428571,10.7,1.97,6.205900000000001
For www pick /usr/bin/firefox,33.33333333333333,7.2,0.38,5.3226
"For years, the central government regarded them as mostly a nuisance.",9.090909090909092,7.6,0.87,5.6361
"Founded in 1966, the American Society of Nephrology (ASN) is the world's largest professional society devoted to the study of kidney disease.",13.043478260869565,13.1,1.76,6.8209
found it...,0.0,-3.1,0.15,5.2888
"Four others were missing in floodwaters in other towns, regional police chief Perfecto Palad said.",13.333333333333334,10.3,1.23,5.9065
Four other Uighurs were moved to Bermuda in June.,11.11111111111111,2.1,0.6,5.7919
"Four other voters said they put a premium on Parker's financial chops, especially given the challenges the city may face in the next year.",16.0,11.5,1.69,5.9963
"Fox Nation: ""Hillary: 'We tax everything that moves.' """,0.0,5.2,0.69,5.3443000000000005
"Fox News' Colby aggressively pushes ""so-called death panels"" smear",0.0,9.2,0.85,5.388299999999999
FOX News reported:,0.0,5.6,0.24,5.4205000000000005
Free.,100.0,-3.5,0.07,5.0773
"""Freee mah nigga ... F- dem snitches,"" reads one of the more prominent comments posted by a friend.",5.88235294117647,4.2,1.2,6.2235
"Freeman, 33, did intelligence work for the Air Force and later helped U.S. Rep. John Culberson on veterans issues.",0.0,5.8,1.41,6.28
Friend and personal attorney Dale Jefferson went to a couple of auctions with him and marveled at the joy he showed when the cars started rolling across the block.,3.4482758620689653,11.1,1.98,6.9757
Friends and family gathered today at Woodrow Wilson High School in Long Beach to mourn the death of a 16-year-old honors student and track athlete who was gunned down as she and her friends were leaving a football game the night before.,2.272727272727273,16.1,2.86,7.2367
Friends said it was usual for him to work late into the night.,7.6923076923076925,3.6,0.73,5.500100000000001
"From Centrepointe we can make it in under 3 hours, no border traffic.",0.0,6.0,0.84,5.940200000000001
"From here, the Maoists recruited and trained disgruntled tribal villagers and slowly spread out.",7.142857142857142,7.6,1.22,5.8422
from more reading I hve gathered that it is just not enough memory to do anything more significant than read email. play a few really old games and type a few papers with.,24.242424242424242,12.6,2.04,6.0003
"From the first moments he arrived in Washington on the day after his Sept. 24 appointment, Kirk has remained deferential to his former boss.",12.5,11.5,1.72,6.497399999999999
"From there, he went to Kennedy's former office with its expansive view of the Capitol, to prepare for the move to his own more modest digs on the first floor.",16.129032258064516,10.3,1.9,7.5062999999999995
"From the top of the key and from the wing, Pierce let the 3-pointers fly, drilling all five he took in the third quarter.",4.0,6.8,1.44,6.4922
From this link you will find different areas in which you can look at.,7.142857142857142,4.0,0.84,5.6516
"from what i can understand, it cannot find the Mac 0s startup disk.",7.6923076923076925,4.8,0.81,5.247800000000001
From where?,0.0,-3.1,0.15,5.2357000000000005
"From your brief description, it seems more likely that the wireless driver is failing to tell WiFIRadar anything useful, rather than WiFiRadar itself breaking, since if it were broken, its brokenness should not survive a simple program stop and re-start.",12.195121951219512,17.7,3.16,6.880699999999999
"Fueled by street-macho bravado and inspired by sexual initiations required to get into some local gangs, they began the attack, investigators say.",13.043478260869565,15.4,1.84,5.9344
"Further complicating the picture, the current Massachusetts waiver expires in 2011, two years before much of the new federal law would take effect, so it would have to be renegotiated during an awkward interim period.",17.142857142857142,18.1,2.69,7.4251
Further down I 90 there is Turning Stone Casino which has a more expensive hotel and a lodge that are suppose to be nice.,12.5,9.1,1.44,6.4273
"Further, kaffeine sometimes plays sound, sometimes not.",0.0,6.0,0.72,5.8322
"Gabriel Contreras, MD, MPH (University of Miami), and his colleagues conducted a thorough evaluation of the frequency of lupus nephritis in kidney transplant recipients and determined the risk this condition has for patients.",3.0303030303030303,18.5,2.84,7.0715
"Gardens remain one of the few flourishes of public ornament on Baghdad's otherwise brown streets, defiant displays of foliage amid concrete blast walls and security checkpoints.",18.51851851851852,14.6,2.23,6.531100000000001
"Gateway Pundit: Clinton ""[a]dmits"" ""that the democrats tax everything that moves.""",0.0,6.4,1.06,5.5696
"Geithner told NBC's ""Meet the Press"" that bringing back jobs and the confidence of investors will be the real test of recovery.",8.695652173913043,10.7,1.56,6.6734
"General Administration spokesman Steve Valandra said that by allowing the displays outside, the state is simply trying to accommodate free speech while maintaining some decorum.",4.0,15.4,2.25,6.0112000000000005
General Jones's office declined to say whether Ashcroft was present at Hague's meeting.,6.666666666666667,6.0,1.1,5.6613
"Generally on the soapy ""Gossip Girl,"" the teens are hard to classify in moral terms, as each seems to pass in and out of good and bad behavior in every episode.",12.903225806451612,11.8,1.91,5.608899999999998
"Generally speaking, all of the congressional proposals follow the broad outlines of the Massachusetts system - people who don't get insurance through work could turn to an ""exchange,"" modeled on the Massachusetts Connector, to buy coverage; depending on income, they could qualify for government-subsidized insurance.",6.521739130434782,24.0,4.01,8.989299999999998
"Generationally, Sally Draper will grow up to be a baby boomer.",0.0,7.6,0.76,5.464500000000001
"George Osborne, the shadow chancellor, laid out a detailed ""austerity package"" at the Conservative conference last month with £23 billion of cuts to Whitehall spending, quangos and public sector pay.",10.0,16.2,2.5,6.453099999999999
"George Ranney, co-chairman for the reform coalition CHANGE Illinois!, told lawmakers his group agreed to support the new proposal as a ""building block"" for future changes.",7.4074074074074066,12.3,2.14,6.8839999999999995
"""Get a Las Vegas residency,"" Allocco explains, ""and bill it as 'Michael Jackson Live - The Holographic Experience!' Who wouldn't want to go see that?""",0.0,8.0,1.85,6.464499999999999
get it here www.dbpoweramp.com/,0.0,9.6,0.41,5.2484
Get them all day every day by clicking here for Twitter alerts of each Ticket item.,0.0,6.0,1.0,5.556699999999999
"Gidday, I am a first time Linux user ....",12.5,5.2,0.48,4.8325000000000005
"Gingrich pointed out that Scozzafava has been endorsed by the National Rifle Association, and opposes Democratic legislation on health care reform and climate change.",4.166666666666666,16.2,2.1,5.525899999999999
"Gingrich, who once saw the Hoffman challenge as an affront to party unity, also quickly got in line to crown Hoffman as the de facto Republican nominee.",0.0,13.8,1.85,6.3966
give it a shot.,0.0,-2.3,0.18,5.0863
"Given his early and consistent courting of President Obama - who once quipped as Citigroup chairman Richard D. Parsons was explaining banking matters, 'All right, I'll talk to Jamie"" - that's probably not too surprising.",8.571428571428571,10.9,2.73,5.992099999999999
Give the official version a try:,16.666666666666664,4.5,0.4,5.002000000000001
"Give us a link to your old diary software, so we can see exactly what you're after",11.11111111111111,6.4,0.97,5.3558
Giving my fans something new to talk about every two weeks meant exactly that: they talk about me every two weeks.,4.761904761904762,7.9,1.38,6.2985999999999995
Glad to here you are enjoying Feisty on your ibook.,0.0,2.5,0.62,5.422100000000001
gnome-panel &  will start the display manager which are the application bars and docks.,7.142857142857142,9.5,1.07,5.2236
gnome-wm &   will start the window manager.,0.0,10.4,0.51,5.2119
"God know how many plastic water bottles I've gone through, not to mention the thousands of plastic action figures that my three sons have nurtured ...",11.538461538461538,10.7,1.84,7.072799999999999
Go here to see the object and enter your six words: http://www.smithmag.net/sixwordbook/2009/10/29/a-six-word-story-about-a-significant-object/,14.814814814814813,18.6,1.94,6.671100000000001
"Going through the list of the trophies and medals in Uncharted 2, one spots a yak-petting exercise called ""Beast Mode.""",4.761904761904762,8.7,1.47,5.865099999999999
Good for Dede.,33.33333333333333,-2.7,0.18,5.224500000000001
Good luck!,50.0,-3.1,0.13,5.1542
Good luck!!,50.0,-3.1,0.15,5.1542
Good luck.,50.0,-3.1,0.13,5.1542
Good luck and safe travels :),40.0,2.9,0.35,5.2349
Good men in the GOP are now going to be challenged in primaries because of the ill-will the NRCC has generated in New York's 23rd Congressional District.,3.4482758620689653,12.6,1.87,6.202499999999999
Good music is barely enough to get fans to hand out 99¢ anymore; they have to be emotionally invested in the artist if that artist wants their loyalty.,7.142857142857142,11.8,1.82,5.700799999999999
"good point, holli.",33.33333333333333,0.9,0.24,5.1404000000000005
Google announced that it was working on this Social Search feature at the Web 2.0 Summit last week.,5.263157894736842,6.8,1.2,5.6291
"Google announces turn-by-turn GPS navigation, for free -",11.11111111111111,10.7,0.72,5.6854000000000005
"Google CEO Eric Schmidt envisions a radically changed internet five years from now: dominated by Chinese-language and social media content, delivered over super-fast bandwidth in real time.",13.793103448275861,17.4,2.39,6.248100000000001
"Google has also partnered with the major music labels: EMI, Sony Music, Universal Music Group and Warner Music.",5.555555555555555,10.3,1.38,5.9106
Google insists Android 3rd-party only,0.0,10.0,0.48,5.125400000000001
"Google Launches Music Search: Partners with MySpace, Lala, Gracenote and Others",0.0,6.4,1.01,5.8335
Googlers are also pulling out all the stops for the costume contest:,0.0,4.4,0.84,5.9356
Google Search Gets Personal: Social Search Launches in Google Labs,0.0,4.8,0.84,5.486300000000001
Google tonight moved to quashed rumors that it would make its own smartphone.,7.6923076923076925,3.6,0.95,5.938
Google Wave is a much hyped new Internet-based communications and collaboration platform.,7.6923076923076925,12.7,1.15,5.6894
GORDON BROWN is planning a final public spending spree to help pull the economy out of recession and put pressure on the Conservatives over their plans for deep cuts.,10.344827586206897,12.2,2.03,7.224
Gordon Brown is secretly backing David Miliband to be the European Union's foreign affairs chief - clearing the way for one of his protégés to be Labour's next leader.,10.0,11.8,2.04,6.444199999999999
Go read the whole thing:,20.0,-1.9,0.29,5.4321
Got anything else?,0.0,0.9,0.24,5.1015
Go to the Open With tab and choose which program you want to open it with.,0.0,3.6,0.87,5.6803
Go to www.1000islands.com for more info.,12.5,4.5,0.51,5.4599
Got to start testing...,0.0,1.3,0.29,4.876200000000001
Government advisers are preparing for the mass vaccination of schoolchildren to stop the spread of swine flu.,0.0,9.9,1.37,6.0551
"Governor Arnold Schwarzenegger finally responded personally to this week's big internet meme: his letter to the California State Assembly in which the first letter of each line spelled out ""F-U-C-K Y-O-U.""",5.405405405405405,15.4,2.57,8.000599999999999
Grabbed a pit of history for them to remember for the rest of their lives.,0.0,5.6,0.88,6.0821000000000005
"Granted, turning around a $7 billion-a-year company takes time.",0.0,8.0,0.81,4.9007000000000005
"Grant was appointed to the seat early this year after the death of her father, Bill Grant, a longtime legislator and a key member of the House Democrats' leadership team.",6.666666666666667,12.6,2.07,5.8433
"Grateful for any thoughts on destinations, good hotels, must see....",10.0,6.0,0.87,6.092599999999999
Greasemonkey doesn't detect any script at all.,0.0,6.0,0.59,5.212300000000001
Greasemonkey is unable to install any scripts.,14.285714285714285,6.0,0.59,5.4109
Great outdoor life in Lake Placid if the weather co-operates.,9.090909090909092,6.0,0.76,5.1768
Great place to raise children.,20.0,0.5,0.38,5.208200000000001
Greenport also has a beach on the Bay that has a small playground.,7.6923076923076925,3.6,0.79,5.0991
"Greg Jaffe, speaking to Andrew Exum, says ""This whole conventional vs. irregular debate is stupid.""",26.666666666666668,10.3,1.25,6.118
Grounds are open daily until sunset.,33.33333333333333,4.5,0.46,5.6503000000000005
"Groups who are accepted to Y-Combinator and fall under these categories will be given ""priority access"" to Twitter and Justin.tv.",4.545454545454546,12.3,1.62,6.1937999999999995
"Growth in Asia including Japan, Australia and New Zealand will probably accelerate to 5.8 percent next year from 2.8 percent this year, it said.",3.8461538461538463,11.5,1.78,5.8278
Guess the bad economy even hit Hoobastank.,14.285714285714285,3.7,0.53,5.5669
Guess there's not an opensource alternative to this yet.,0.0,4.4,0.71,5.9190000000000005
Guest Alan Rorke said it was a mad rush to help all the injured.,14.285714285714285,2.9,0.75,5.422300000000001
Guided tours (last tour at 4:30).,14.285714285714285,0.9,0.41,5.130300000000001
"Guys,  This is my first post on the forum that I love so much.",14.285714285714285,2.9,0.71,5.9365000000000006
Hague made him party treasurer and secured him a life peerage in 2000.,0.0,6.0,0.85,5.213500000000001
Hague's visit to Washington last month was described in one Tory-supporting newspaper as the most comprehensive US visit by a shadow foreign secretary since Labour came to power in 1997.,12.5,15.0,2.31,6.7485
Halloween is generally speaking a children's holiday.,12.5,11.9,0.69,5.369399999999999
Halloween is the only time authentic sluts cover their parts up.,18.181818181818183,6.4,0.79,5.7330000000000005
"Halloween nostalgia seems to be the theme today, so with that in mind, here's a roundup of various retro Halloween cartoons, commercials, and educational films meant to scare you, school you, and make you smile.",5.555555555555555,14.6,2.6,6.3239
Hamas' control over Gaza is another main stumbling block to peace efforts.,8.333333333333332,5.6,0.93,5.6697999999999995
Hamas has long preached that Abbas' moderation doesn't pay and that only armed struggle will produce a Palestinian state.,10.0,9.5,1.51,5.2128000000000005
"Hamas spokesman Sami Abu Zuhri said the U.S. could not effectively engage in peacemaking while ignoring Hamas, and said Clinton's visit was ""destined to fail.""",0.0,11.9,1.98,5.9223
"Hanging on to whatever he knows and leaking info out in droplets could maybe, possibly, profoundly scare the shit out of Sarah Palin and her oft-projected 2012 run's potential.",3.225806451612903,13.4,2.17,6.4294
Happy Birthday!!!,50.0,8.8,0.24,5.040800000000001
Happy Camping.,50.0,8.8,0.19,5.014400000000001
Happy Halloween.,50.0,8.8,0.22,5.166500000000001
Happy New Year.,33.33333333333333,0.9,0.19,5.040800000000001
Happy surfing!,50.0,8.8,0.19,5.1503000000000005
Harry Reid and Nancy Pelosi put it back in with a nod and a wink as if to appease the far-left liberals who were making lots of noise.,3.4482758620689653,10.7,1.57,5.670400000000001
has anyone else been told that they were a positive person and that they would be a good cast member in the program?,8.695652173913043,8.7,1.38,6.237300000000001
Has anyone else heard of or experienced a similar problem?,10.0,8.4,0.72,5.454899999999999
Hastings noted Chaudhry's disability from his military service as well as his service as a volunteer firefighter in Yakima and volunteer work with the Red Cross youth program.,6.896551724137931,14.2,2.17,6.5974
Have a great time!,25.0,-2.3,0.22,4.8208
Have a great time.,25.0,-2.3,0.22,4.8208
"Have a great weekend, and make sure you drive carefully!",20.0,3.7,0.69,5.187000000000001
Have fun!,0.0,-3.1,0.12,5.1176
"Have had quotes for limo transfer for the four of us, all around $300.",0.0,2.9,0.84,5.908900000000001
Have not been to Shelter Island so don't know.,10.0,2.1,0.56,5.8219
Have we really lost confidence in our ability to govern ourselves through the ballot box?,0.0,9.1,1.1,6.3187999999999995
"Having invested considerable capital in seeking a solution for Palestinians and Israelis as part of a broader thrust to help stabilize the oil-rich Middle East, Obama faces an early setback in his presidency if the two sides refuse even to talk.",9.523809523809524,19.3,3.01,6.122399999999999
"Having wasted no time feuding with the girls and playing all the guys, Cavallari leaves us without a gal to root for.",0.0,8.3,1.41,5.9655000000000005
"He added: ""One has to ask the question: who would wish to chair the council at this point, given the quite blatant political interference it has to deal with?""",10.344827586206897,11.1,1.92,6.4844
He added that the states of the bodies made it hard to tell how long they had lain in the makeshift graves.,9.090909090909092,4.8,1.26,5.8562
He adds that Google isn't particularly experienced at hardware design and that its influence on the T-Mobile G1's hardware design is more a negative than a positive.,6.666666666666667,15.0,2.04,5.4671
"Heading the campaign against him is the high profile Mahant Gyandas, head of All India Akhada Parishad and the president of Ram Janmabhoomi Nyas, Nritya Gopal Das.",3.7037037037037033,11.5,2.01,4.906099999999999
Head over here instead: Gives you fan-control with a GTK-Gui: http://www.gambitchess.org/mediawiki...ad_Fan_Control,0.0,14.7,1.54,5.8313999999999995
Head to the back of the Wal-Mart Supercenter in Raynham and you may be in for a surprise.,0.0,6.8,1.06,5.7254
He alerted U.S. immigration authorities after learning otherwise years later.,0.0,14.3,1.0,4.8929
He also alleged that documents were withheld from the board of inquiry and the inquest to cover up the way in which airworthiness regulations were ignored.,3.8461538461538463,13.4,1.91,7.0916999999999994
"He also has a problem ""collecting people,"" as they say in politics - doing favors and developing the personal touch with big donors.",9.090909090909092,13.1,1.62,6.131799999999999
He also has been working on a variety of constituent issues that had accumulated since before Kennedy's death on Aug. 25.,4.545454545454546,10.3,1.48,6.0143
"He also, in the ultimate expression of ""too little, too late"", said that he wished his party had endorsed Owens all along.",9.090909090909092,9.5,1.48,5.7913000000000014
He also once owned two Chinese restaurants in the district.,10.0,4.8,0.73,5.4928
He also played a significant role in developing the country's first artificial earth satellite.,20.0,12.3,1.2,5.1194
"He also said Democrats will take the sidelining of Scozzafava as a positive trend for the long-term, believing that the Republican Party will conservatize itself to death demographically.",6.896551724137931,16.6,2.35,5.9582
He also said Illinois must be aggressive in promoting its businesses and products in emerging markets such as Africa.,10.526315789473683,10.7,1.45,5.6530000000000005
He also said the two sides released a joint declaration and signed a number of cooperation agreements.,5.88235294117647,9.9,1.26,5.1825
"He also wanted to beat his time from last year's race, about 24 minutes.",6.666666666666667,4.0,0.87,5.2
He also was permitted to visit with Aung San Suu Kyi.,0.0,5.2,0.63,5.2978
"He also writes of fears during the 2000 Sydney Olympics that Chinese athletes (no names here) would be disqualified for doping, and of a women's volleyball coach arranging for the Chinese team to lose a match in the 2002 world championships to avoid facing a tougher opponent.",4.166666666666666,19.3,3.38,6.953899999999999
"He amassed a collection that numbers more than 800 vehicles, from the overtly silly Batmobile to a Rolls-Royce Silver Shadow once owned by a maharaja.",3.8461538461538463,13.0,1.85,6.1132
He argues that authorities violated the U.S. Constitution and the rights of his mentally ill clients while searching for evidence that he broke an anti-rioting law on Twitter.,3.3333333333333335,9.9,2.17,6.0207
He arrived in the U.S. on a tourist visa in 1998 and planned a life in the U.S. military when he joined in March 2001.,3.7037037037037033,7.1,1.38,5.614999999999999
Hear that?,0.0,-3.1,0.13,4.8095
Hear the podcast,0.0,0.9,0.21,5.0296
Heartwarming!,0.0,20.2,0.19,4.7894000000000005
He believes in spreading the gospel of his faith -- an evangelical tenet that rubbed some Christians in Rossville the wrong way.,9.523809523809524,7.9,1.57,6.2334
"Hebert called police, lawyers and detectives, she recalled, and to this day is on a first-name basis with them.",10.0,7.2,1.37,5.4062
Hebert had temporary custody of Bianca.,16.666666666666664,6.8,0.5,5.3165000000000004
"Hebert posted hundreds of posters in stores, gasoline stations and offices.",0.0,6.4,0.95,5.8512
"Hebert said she hasn't lost hope of a reunion, but knows Bianca could have another life or been raised to hate her.",0.0,7.2,1.38,6.292700000000001
Hebert sometimes wakes up in the early morning hours and gets busy.,16.666666666666664,4.4,0.82,5.993
"Hebert was getting her hair cut on Christmas Eve when she learned beautician Emma Moreno was from Mexico, as was Hebert's ex-husband, who was from Monterrey.",7.142857142857142,11.1,1.94,6.3917
He bought and bought and never stopped.,0.0,0.1,0.48,5.725200000000001
He called his biggest grab luck.,16.666666666666664,0.9,0.4,5.326300000000001
